Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Nuclear Events Stimulated by ALK Signaling in Cancer,2/35,0.00013270327104745937,0.0006635163552372967,0,0,151.18939393939394,1349.7274345163214,HDAC1;STAT3
Evasion by RSV of Host Interferon Responses,2/37,0.0001484593618046431,0.0007290415088620867,0,0,142.53571428571428,1256.4807280914272,STAT2;JAK1
SUMOylation of Ubiquitinylation Proteins,2/39,0.00016508979842508767,0.0007964858695947213,0,0,134.81756756756758,1174.129027010432,MDM2;PML
Signaling by SCF-KIT,2/43,0.0002009680615243086,0.0009528658089514632,0,0,121.64024390243902,1035.4461013159446,STAT3;JAK2
Immune System,6/2150,0.0002192847457047978,0.0010220899164206,0,0,12.48554104477612,105.19242458560302,STAT2;HGF;STAT3;JAK2;PML;JAK1
Interleukin-10 Signaling,2/46,0.0002301614233862017,0.001037612974282,0,0,113.32954545454544,949.3309641295106,STAT3;JAK1
Interleukin-12 Signaling,2/46,0.0002301614233862017,0.001037612974282,0,0,113.32954545454544,949.3309641295106,JAK2;JAK1
"Interleukin-3, Interleukin-5 and GM-CSF Signaling",2/48,0.0002507089602670998,0.0011120155495718,0,0,108.3913043478261,898.695913322854,JAK2;JAK1
Signaling by Non-Receptor Tyrosine Kinases,2/55,0.00032944057318529184,0.0014155649629055,0,0,94.04245283018868,754.043161688492,ERBB2;STAT3
Signaling by PTK6,2/55,0.00032944057318529184,0.0014155649629055,0,0,94.04245283018868,754.043161688492,ERBB2;STAT3
Transcriptional Regulation of Granulopoiesis,2/58,0.00036641752551901487,0.0015502279925804,0,0,88.99107142857143,704.0739609142095,STAT3;PML
Transcriptional Regulation by TP53,3/362,0.0006420381467439564,0.0026751589447664,0,0,23.43533625149224,172.26994233389308,HDAC1;MDM2;PML
Interferon Alpha Beta Signaling,2/78,0.0006621298425578926,0.0027176971149764,0,0,65.50657894736842,479.511360148814,STAT2;JAK1
Signaling by MET,2/79,0.0006791469109190254,0.0027465500073931,0,0,64.65259740259741,471.6195624815348,HGF;STAT3
Constitutive Signaling by Aberrant PI3K in Cancer,2/83,0.000749325943468871,0.0029864439775933,0,0,61.44753086419753,442.1971090445791,HGF;ERBB2
RSV-host Interactions,2/109,0.0012871159553875,0.0050565269675937,0,0,46.45560747663552,309.1783856143476,STAT2;JAK1
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",2/111,0.0013342936091659,0.0051680386270511,0,0,45.59862385321101,301.8333994032146,HGF;ERBB2
Negative Regulation of the PI3K AKT Network,2/118,0.0015058881139702,0.0057516559908585,0,0,42.831896551724135,278.3376163563692,HGF;ERBB2
SARS-CoV-2 Activates Modulates Innate and Adaptive Immune Responses,2/138,0.0020511970331448,0.0077271121111622,0,0,36.49632352941177,225.8878535277181,STAT2;JAK1
Mitotic G1 Phase and G1 S Transition,2/139,0.0020805863688292,0.0077319088030815,0,0,36.22810218978102,223.71235369917136,HDAC1;JAK2
Generic Transcription Pathway,4/1230,0.0022150646989065,0.0081219038959906,0,0,10.20337139749864,62.36783897645434,HDAC1;ERBB2;MDM2;PML
PTEN Regulation,2/145,0.0022611384625046,0.0081817510156419,0,0,34.69755244755245,211.37356341523795,HDAC1;PML
GRB7 Events in ERBB2 Signaling,1/5,0.0024977078641967,0.0086945526918241,0,0,555.1666666666666,3326.7706415121643,ERBB2
MET Activates PTPN11,1/5,0.0024977078641967,0.0086945526918241,0,0,555.1666666666666,3326.7706415121643,HGF
MET Interacts With TNS Proteins,1/5,0.0024977078641967,0.0086945526918241,0,0,555.1666666666666,3326.7706415121643,HGF
Factors Involved in Megakaryocyte Development and Platelet Production,2/158,0.0026769918643785,0.0090885526259765,0,0,31.78525641025641,188.26603021268724,HDAC1;JAK2
Antiviral Mechanism by IFN-stimulated Genes,2/158,0.0026769918643785,0.0090885526259765,0,0,31.78525641025641,188.26603021268724,STAT3;JAK1
