Feature,Fisher Score,Normalized Fisher Score
UMODL1,0.02323237013758382,0.06413010934117598
FCRL3,0.028426467418804207,0.10998621545091322
CCDC7,0.016079588923861392,0.0009817552465977808
ZNF41,0.02352436285509675,0.06670796807438735
OXER1,0.03258258755279442,0.1466785366667938
ZNF709,0.05587866739177242,0.3523480594343939
SLC5A3,0.02111786849622248,0.045462224165814545
LOC101930343///CATSPER2P1///CATSPER2,0.05327035586607828,0.32932057195896125
BTBD9,0.029592946786681014,0.12028448265156338
PARP15,0.01801135355490492,0.01803634608386379
LINC00269,0.051012587442338844,0.30938785549164777
C15orf32,0.025293117537905727,0.08232342501052048
CNOT9,0.020216546046083222,0.03750489574570394
MBNL2,0.05580050945703507,0.35165804183276134
INSL3,0.017379046490978583,0.012454020946793966
ABCA13,0.028736198636202036,0.11272067859272712
ABCA13.1,0.03221085216855534,0.14339666952001487
FAM98B,0.02585464556384681,0.08728087716187785
LOC101929373///SLC9B1,0.023927518827803525,0.07026723199692839
HUS1B,0.022130335280096117,0.05440079072708337
LRCH3,0.017578475781979328,0.014214683143588853
NLRX1,0.01933361701417207,0.029709953683091563
ZNF697,0.019146919071415695,0.0280616902390356
PRPF38A,0.01825983699080646,0.020230082971390048
AMER2,0.030992892595853364,0.1326439091500609
ZNF644,0.026195736257138308,0.09029219754687917
RASGEF1B,0.016556758379717092,0.005194447465351036
FAM227B,0.02515532284527768,0.08110690408216663
FAM222A-AS1,0.02265717430182208,0.05905199088276079
APOBEC3D,0.022431990276970643,0.05706395292761124
P2RY10,0.026874382359682068,0.09628362704931129
SESN3,0.017930597729279935,0.017323392993395536
SAMD3,0.021946104978562867,0.05277431286224202
GOT1L1,0.02380762742700111,0.06920877034340524
SIGLECL1,0.019044647549542926,0.02715878574859447
C10orf126,0.024830127490611777,0.07823591575010953
ACER1,0.017410661491087377,0.012733134086413016
GPHB5,0.01939666959883639,0.030266613648493833
EXOSC6,0.020166634762718676,0.03706425380503161
ZDHHC19,0.03806120066130382,0.1950464917581118
CBS,0.03354347454239837,0.15516173083299784
CYP39A1,0.027312363619463962,0.10015034614124096
NDST1,0.045909155141544686,0.2643321854803822
USB1,0.021921106610743268,0.052553614684052244
CCDC13,0.03429531717845943,0.1617993761889469
ZBTB24,0.020203789540944473,0.03739227489523453
SLFNL1,0.020157985199318603,0.03698789110414214
GALNT18,0.017330053351100043,0.012021484839116046
CNOT9.1,0.03575759034058262,0.17470905994211441
NOL9,0.016497133650803533,0.004668050336496706
SBDSP1///SBDS,0.022646728071027074,0.05895976629745806
SLC4A8,0.018410547972305617,0.021560635401456252
CCSER2,0.024764405466843425,0.07765568863219152
SLC33A1,0.017814256624273387,0.016296275138789073
CLDND1,0.03779171329589041,0.19266732160504
ZMYND11,0.03638847751671608,0.18027884959481247
CD300LB,0.02853064199297374,0.11090592104524749
SNX32,0.035713979692783136,0.1743240431846813
ARHGEF10,0.017974611587199815,0.017711969492794234
VPS50,0.05117687419772494,0.3108382616892073
ZADH2,0.049774112040073,0.29845397104825544
CERS3,0.017949090136243764,0.017486653273295134
PCNX2,0.01918380705299018,0.02838735591406434
GPSM1,0.020758163676308377,0.042286568898478163
FRYL,0.019595675225518375,0.03202353552336095
ERAP2,0.038194239837642696,0.19622102859418628
SSH1,0.03349401562301398,0.15472508258931483
FANCM,0.03168711179768275,0.13877282581429132
TRMT2B,0.019257761870275007,0.02904026627848911
HAVCR2,0.01864811841042625,0.02365802684970361
FAM160B1,0.0439049537535159,0.24663808647938368
EIF4G3,0.03222718659454559,0.14354087805730176
STXBP4,0.05019866924755612,0.30220217584726633
DNAJA4,0.02447006522947711,0.07505710481170065
HELQ,0.028364984903581192,0.10944341684909387
SIAE,0.025366336382888224,0.08296983784088643
FCHSD2,0.046185853602092826,0.2667750188122052
PPP2R5C,0.026810971348917165,0.09572380271781977
HACD1,0.028876616096620383,0.1139603546357393
ACTR2,0.06264020978105449,0.41204236019180185
LOC653581,0.02123854153255932,0.046527586491401575
AZIN2,0.03414334843165149,0.16045771957342986
CTNNB1,0.018442361626990863,0.021841502363701977
SMIM11A,0.03619178943455973,0.17854238816993842
ZNF674///KRBOX4,0.030160990984031615,0.1252994628451206
