Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Signaling by NOTCH,1/119,0.0579443409196367,0.0633095576714549,0,0,18.71186440677966,53.29648635296648,HDAC1
p75 neurotrophin receptor-mediated signaling,1/124,0.0603114275885761,0.0655921516631519,0,0,17.946702800361336,50.39853526607874,HDAC1
"TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1/135,0.0655001866370672,0.0705846760107209,0,0,16.46434494195688,44.87690266099937,HGF
Mitotic G1-G1/S phases,1/135,0.0655001866370672,0.0705846760107209,0,0,16.46434494195688,44.87690266099937,HDAC1
Signaling by the B cell receptor (BCR),1/151,0.0730014474463071,0.0783106436242203,0,0,14.696296296296296,38.46426373212925,MDM2
EGFR1 pathway,1/152,0.0734684718687947,0.0784550197331925,0,0,14.59823399558499,38.11451335774776,HGF
Calcium signaling pathway,1/178,0.0855370257686186,0.0909312526188918,0,0,12.437539234149405,30.581495433145506,ERBB2
Huntington's disease,1/184,0.0883019048329127,0.0934495495092708,0,0,12.026108075288404,29.18728732343428,HDAC1
Transmission across chemical synapses,1/190,0.091059258031028,0.0959374325684045,0,0,11.64079952968842,27.89420530874704,MDM2
"Platelet activation, signaling and aggregation",1/205,0.0979198348783282,0.1027070268057132,0,0,10.77668845315904,25.04077952879582,HGF
Wnt signaling pathway,1/231,0.1097011811998824,0.1145552157662489,0,0,9.545893719806765,21.096378767938067,HDAC1
BDNF signaling pathway,1/261,0.1231228350253671,0.1280043571188839,0,0,8.431623931623932,17.660649836680896,HGF
Cytokine-cytokine receptor interaction,1/265,0.1248985607945871,0.1292809664365025,0,0,8.302188552188552,17.270655836760263,HGF
Insulin signaling pathway,1/277,0.1302063371278302,0.1341864435029167,0,0,7.936392914653784,16.179407402399576,IGF1R
Neuronal system,1/283,0.132849344630649,0.1363149797079703,0,0,7.765169424743893,15.674301518188736,MDM2
Axon guidance,1/325,0.1511489323295789,0.1544205542414745,0,0,6.744170096021948,12.743039401590616,ERBB2
Generic transcription pathway,1/377,0.1733236556928205,0.1763119945840761,0,0,5.796099290780142,10.15821226113778,HDAC1
Developmental biology,1/420,0.1912651251199825,0.1937277662159479,0,0,5.18987006099178,8.584536685135152,ERBB2
TGF-beta regulation of extracellular matrix,1/565,0.2492119681124256,0.2513419849338993,0,0,3.827029156816391,5.317471276529871,HGF
Adaptive immune system,1/606,0.2649046251641495,0.2660318788882522,0,0,3.5601469237832872,4.729247276644859,MDM2
Gene expression,1/968,0.3911714388582847,0.3911714388582847,0,0,2.185798000689417,2.051610446210823,HDAC1
