Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897),1/162,0.14323885679173934,0.18170872118723502,0,0,6.8391994478951,13.2902176640286,IGF1R
Cellular Response to Nitrogen Compound (GO:1901699),1/169,0.14896722248838676,0.18790183745694242,0,0,6.55191798941799,12.475041729946822,IGF1R
Regulation of Cytokine Production (GO:0001817),1/172,0.15141111227519102,0.18990546285362941,0,0,6.435997400909682,12.149596209925718,BTN3A2
Regulation of Transcription by RNA Polymerase II (GO:0006357),Apr-50,0.1579744005715699,0.19702425239825008,0,0,2.105669338082517,3.8856385455211084,AHI1;GFI1B;STAT2;PTMA
Regulation of Translation (GO:0006417),1/201,0.17469508597019823,0.21666094461108382,0,0,5.494722222222222,9.586714339948625,EIF4B
DNA-templated Transcription (GO:0006351),1/203,0.17627836221179327,0.2174099800612117,0,0,5.43976897689769,9.441757673873573,PTMA
Regulation of Signal Transduction (GO:0009966),1/211,0.1825827383880061,0.22244589680777763,0,0,5.23042328042328,8.894605973601593,GALNT11
Regulation of Angiogenesis (GO:0045765),1/211,0.1825827383880061,0.22244589680777763,0,0,5.23042328042328,8.894605973601593,PML
Protein Stabilization (GO:0050821),1/212,0.18336756358478967,0.22244589680777763,0,0,5.205371248025276,8.829676548346452,PML
Regulation of Canonical Wnt Signaling Pathway (GO:0060828),1/216,0.1864997314773825,0.2250159803694506,0,0,5.10749354005168,8.577144039206122,DKKL1
